iter	Passed	Remaining
0	8	7347
1	14	6160
2	20	5812
3	26	5670
4	32	5617
5	44	6340
6	50	6211
7	56	6060
8	61	5918
9	67	5826
10	74	5819
11	80	5741
12	86	5690
13	92	5636
14	98	5600
15	104	5575
16	110	5546
17	116	5503
18	122	5475
19	128	5445
20	134	5420
21	140	5411
22	146	5399
23	152	5383
24	158	5361
25	164	5339
26	170	5318
27	176	5294
28	181	5274
29	188	5267
30	193	5247
31	200	5244
32	206	5231
33	211	5210
34	217	5193
35	223	5180
36	229	5162
37	235	5149
38	241	5145
39	248	5147
40	254	5140
41	260	5139
42	266	5132
43	272	5120
44	278	5106
45	285	5112
46	291	5103
47	297	5092
48	303	5085
49	309	5081
50	316	5076
51	322	5067
52	328	5057
53	334	5051
54	340	5040
55	346	5036
56	352	5028
57	358	5024
58	365	5020
59	371	5020
60	378	5013
61	384	5014
62	390	5004
63	396	4994
64	403	4994
65	409	4988
66	415	4981
67	421	4975
68	428	4972
69	434	4963
70	440	4960
71	447	4960
72	454	4956
73	460	4948
74	466	4943
75	472	4936
76	478	4926
77	484	4916
78	490	4907
79	496	4900
80	502	4891
81	508	4885
82	514	4876
83	520	4872
84	527	4867
85	533	4860
86	538	4850
87	544	4841
88	550	4832
89	556	4824
90	562	4815
91	568	4808
92	574	4799
93	580	4790
94	586	4780
95	591	4771
96	597	4762
97	603	4755
98	609	4749
99	616	4743
100	622	4740
101	629	4741
102	636	4737
103	642	4732
104	648	4726
105	654	4717
106	660	4708
107	666	4702
108	672	4695
109	679	4692
110	685	4688
111	691	4683
112	698	4677
113	704	4669
114	710	4661
115	716	4658
116	722	4651
117	729	4648
118	735	4641
119	741	4632
120	747	4625
121	753	4619
122	759	4610
123	765	4604
124	771	4600
125	778	4597
126	785	4593
127	791	4586
128	797	4579
129	803	4572
130	809	4565
131	815	4558
132	821	4552
133	827	4547
134	834	4541
135	840	4537
136	846	4531
137	852	4524
138	858	4516
139	865	4511
140	871	4505
141	877	4501
142	884	4496
143	891	4492
144	897	4485
145	903	4478
146	909	4471
147	915	4464
148	921	4458
149	927	4452
150	933	4447
151	940	4441
152	946	4435
153	952	4427
154	958	4420
155	964	4415
156	971	4409
157	977	4403
158	983	4400
159	990	4394
160	996	4387
161	1002	4380
162	1008	4373
163	1014	4366
164	1020	4359
165	1026	4351
166	1032	4345
167	1038	4338
168	1044	4333
169	1051	4327
170	1057	4322
171	1063	4315
172	1069	4308
173	1075	4301
174	1081	4295
175	1087	4290
176	1094	4284
177	1100	4278
178	1107	4273
179	1114	4271
180	1120	4263
181	1125	4256
182	1131	4249
183	1137	4242
184	1143	4235
185	1150	4229
186	1156	4223
187	1162	4218
188	1168	4211
189	1174	4204
190	1180	4198
191	1186	4191
192	1192	4183
193	1198	4177
194	1205	4173
195	1211	4167
196	1219	4165
197	1225	4158
198	1231	4151
199	1237	4146
200	1243	4139
201	1250	4134
202	1256	4128
203	1263	4124
204	1269	4118
205	1275	4111
206	1281	4104
207	1287	4098
208	1293	4092
209	1300	4087
210	1306	4081
211	1312	4075
212	1318	4068
213	1325	4062
214	1331	4056
215	1337	4050
216	1343	4043
217	1350	4037
218	1356	4032
219	1362	4026
220	1369	4021
221	1375	4016
222	1382	4009
223	1387	4002
224	1394	3997
225	1401	3993
226	1410	3994
227	1418	3993
228	1426	3992
229	1434	3990
230	1440	3984
231	1446	3978
232	1453	3972
233	1459	3968
234	1467	3964
235	1473	3958
236	1479	3952
237	1486	3946
238	1492	3939
239	1497	3931
240	1503	3925
241	1510	3918
242	1516	3911
243	1522	3904
244	1527	3897
245	1534	3891
246	1539	3884
247	1547	3880
248	1554	3876
249	1561	3872
250	1568	3867
251	1575	3863
252	1581	3857
253	1587	3850
254	1594	3844
255	1600	3838
256	1606	3832
257	1613	3826
258	1619	3821
259	1626	3814
260	1632	3809
261	1638	3803
262	1645	3797
263	1651	3790
264	1657	3783
265	1663	3776
266	1669	3770
267	1675	3764
268	1682	3758
